[1 - 7fa9b806d000]    0.123343 {2}{mapper}:   OUTPUT INSTANCES:
[1 - 7fa9b806d000]    0.123504 {2}{mapper}: MAP_TASK for init_cublas(index_point=(5))<19>
[1 - 7fa9b806d000]    0.123517 {2}{mapper}:   INPUT:
[1 - 7fa9b806d000]    0.123522 {2}{mapper}:   TARGET PROCS: 1d00010000000004
[1 - 7fa9b806d000]    0.123528 {2}{mapper}:   CHOSEN VARIANT: init_cublas
[1 - 7fa9b806d000]    0.123533 {2}{mapper}:   OUTPUT INSTANCES:
[1 - 7fa9b806d000]    0.123648 {2}{mapper}: MAP_TASK for init_cublas(index_point=(6))<21>
[1 - 7fa9b806d000]    0.123660 {2}{mapper}:   INPUT:
[1 - 7fa9b806d000]    0.123665 {2}{mapper}:   TARGET PROCS: 1d00010000000005
[1 - 7fa9b806d000]    0.123670 {2}{mapper}:   CHOSEN VARIANT: init_cublas
